elevation,channelWidth,slope,d_area_loc,distance
177.048996,2.60359,0.0157623,5228645,4958
178.6340027,3.56987,0.0115636,5230583,4974
178.8240051,8.3027697,0.0617667,5713170,4978
178.923996,5.4490099,0.013428,5228628,4986
179.0240021,5.2740898,0.0072598,5230585,4990
179.1670074,4.4910002,0.004892,5230596,4994
179.2749939,3.56567,0.0443083,5713160,4997
179.6309967,4.6364598,0.012173,5228614,5001
179.7089996,5.9932399,0.0037377,5230609,5006
179.8099976,4.6833501,0.0298835,5713040,5008
179.9160004,2.1665699,0.0086624,5713080,5010
180.2709961,6.09442,0.0189652,5713124,5018
180.3820038,8.9050999,0.0283891,5713142,5028
180.4380035,10.7160997,0.0111697,5228594,5039
180.5059967,10.0279999,0.0026507,5230615,5045
180.4980011,8.0983,0.0424968,5713038,5049
180.4620056,6.0918598,0.0099285,5228570,5053
180.6269989,8.14326,0.0022483,5230713,5062
180.5440063,6.5648499,0.0092036,5230807,5069
180.7039948,8.09519,0.0092036,5230822,5076
180.8619995,5.4818401,0.031398,5713008,5081
180.8090057,3.4869599,0.0103122,5228452,5090
180.8840027,3.23067,0.006442,5230854,5093
180.9660034,3.07146,0.0330158,5712977,5096
181.0559998,8.8634501,0.0103122,5228343,5104
181.1139984,7.07407,0.0033496,5230879,5105
181.1269989,10.0815001,0.0521793,5712877,5111
181.128006,6.6563601,0.0084832,5228340,5116
181.1600037,6.1486001,0.0035769,5230896,5126
181.2330017,2.6343999,0.0521793,5712761,5135
181.5919952,11.0604,0.0044596,5228338,5145
181.7660065,9.6525002,0.0039335,5230914,5152
181.871994,10.1155005,0.0462979,5712742,5159
181.9660034,7.8742399,0.0037434,5228296,5167
181.9859924,7.5307202,0.0062658,5230925,5171
181.9909973,6.6995602,0.001865,5230950,5178
181.9550018,3.3347099,0.0033051,5230978,5182
181.9579926,5.2023602,0.012512,5230996,5186
181.9759979,5.6954198,0.0399174,5712742,5190
181.9380035,6.4300299,0.0067879,5228249,5198
181.9989929,6.1993198,0.0089244,5231008,5199
182.0670013,6.0384402,0.0399174,5712740,5203
182.1719971,9.4129801,0.0067879,5228244,5209
182.3190002,8.5342398,0.0110927,5231011,5219
182.5330048,7.8776999,0.0257807,5712737,5225
182.5579987,8.1450996,0.0070862,5228242,5241
182.6360016,6.9243202,0.0070423,5231015,5243
182.6119995,6.2726998,0.0117797,5712735,5259
182.6690063,8.27946,0.016288,5228238,5272
182.9920044,15.5823002,0.0016581,5231023,5291
183.1340027,12.2607002,0.0176219,5712694,5299
183.5809937,11.3284998,0.016288,5228228,5306
183.6340027,13.2299995,0.0024938,5231030,5315
184.0950012,13.1021996,0.027561,5712510,5323
184.2380066,6.0451102,0.0135697,5228204,5330
184.4609985,5.71313,0.0282184,5231044,5336
184.4960022,6.5079598,0.0282184,5231059,5344
184.5299988,21.8181992,0.0035958,5231066,5370
184.5209961,18.9046993,0.0019607,5231088,5368
184.7599945,8.6507301,0.0258008,5712361,5367
189.9450073,4.12675,0.0134685,5228172,5397
190.1609955,3.99541,0.0019607,5231104,5404
190.3130035,6.1528201,0.0616416,5712350,5412
190.3220062,5.39779,0.0143733,5228148,5420
190.2669983,4.16822,0.004579,5231107,5420
190.3209991,2.9194601,0.100149,5710372,5426
190.4980011,2.84482,0.0144409,5228120,5426
190.7610016,2.7035899,0.00954,5231110,5431
190.8410034,4.9919701,0.0220256,5231112,5434
190.9609985,10.9099998,0.0367865,5231116,5442
191.3569946,8.8045101,0.0367865,5231123,5450
191.0850067,12.8948002,0.0236192,5387234,5450
191.6230011,9.0973597,0.0236192,5387241,5458
191.6600037,6.72123,0.0225124,5387247,5459
191.9230042,4.07304,0.0167448,5387291,5463
192.0709991,9.5719995,0.0135575,5387335,5466
192.1549988,11.0661001,0.0236281,5387336,5475
192.3040009,11.0726004,0.0236281,5387338,5478
192.3950043,11.6028996,0.0233383,5387338,5487
192.4600067,8.0946503,0.0160487,5387340,5495
192.5579987,9.8477097,0.0161579,5387340,5506
192.5749969,7.8873701,0.0236732,5387391,5525
192.5549927,7.9994898,0.100149,5708396,5531
192.5769958,7.6465802,0.0138793,5227910,5543
192.7310028,5.71912,0.0138793,5227912,5546
192.9589996,3.88571,0.0140955,5227985,5551
193.0209961,4.4662099,0.0159168,5228081,5559
193.098999,9.5301905,0.0299785,5231156,5575
193.154007,10.8326998,0.0041564,5386949,5575
193.2929993,10.7707996,0.0055819,5387075,5579
193.3930054,11.1904001,0.0197219,5387223,5593
193.4799957,13.1438999,0.033441,5387446,5601
193.5299988,11.3509998,0.0491214,5708388,5608
193.5330048,9.1760101,0.0106436,5227815,5618
193.5890045,9.6080799,0.0113362,5227817,5628
193.6580048,7.9028201,0.0132252,5227820,5633
193.6569977,7.1349101,0.0135086,5227866,5644
193.6999969,13.0697002,0.0299785,5231202,5663
193.7380066,8.0495796,0.01096,5386804,5655
193.7610016,11.3556995,0.0088527,5386818,5670
193.878006,9.6524601,0.0109585,5387079,5690
193.9250031,8.6850204,0.0179098,5387082,5700
193.9309998,8.8899498,0.016293,5387190,5713
193.9190063,7.6265402,0.016293,5387202,5716
193.8970032,5.5562701,0.0071807,5387214,5725
193.8359985,8.0961905,0.033441,5387478,5736
194.0769958,9.36761,0.069637,5708382,5744
194.2539978,11.1534004,0.0086299,5227812,5755
194.2960052,12.7090998,0.0151851,5308717,5763
194.3540039,8.3338404,0.0249625,5386748,5773
194.3540039,11.4840002,0.0249625,5386752,5782
194.4029999,14.3473997,0.0214866,5386762,5789
194.4230042,11.2981005,0.0159911,5386782,5813
194.4100037,7.3404498,0.0179098,5387109,5811
194.3840027,5.6906099,0.0084108,5387137,5818
195.0650024,6.0762801,0.0213301,5387144,5828
194.4640045,3.6403501,0.03485,5387151,5821
195.1130066,6.1466298,0.0592908,5387156,5833
195.1029968,7.0844998,0.0674736,5387160,5841
195.1199951,6.1647401,0.0674736,5387176,5846
195.1360016,6.9253101,0.0282996,5387515,5852
195.3130035,12.0597,0.0750262,5708376,5859
195.3350067,7.2090101,0.0041578,5227763,5863
195.3919983,3.37534,0.005419,5227765,5865
195.4900055,3.4716599,0.005419,5227778,5868
195.6869965,3.3468499,0.003389,5227806,5875
196.0679932,4.5143299,0.0170941,5386218,5883
196.2160034,5.23948,0.0283864,5386742,5886
199.5310059,9.1408901,0.0212329,5387526,5898
199.6869965,14.8171997,0.0274974,5387527,5909
199.7389984,13.9129,0.0274974,5387674,5914
199.8760071,14.8181,0.0750262,5708368,5933
199.9129944,14.0093002,0.0059392,5227756,5935
199.8320007,17.5695992,0.0038078,5227792,5935
199.8609924,17.5405998,0.0035661,5227797,5938
199.904007,16.2740002,0.003591,5227802,5946
199.8679962,10.5611,0.0170941,5386228,5948
199.845993,6.25705,0.0185881,5386276,5950
199.8670044,2.5550499,0.0062833,5386698,5953
200.1710052,2.19875,0.0069931,5386716,5960
200.3860016,2.2808399,0.0167843,5386736,5971
200.4080048,4.2421598,0.0221457,5387835,5980
200.5249939,4.3076401,0.0458954,5708364,5991
200.6190033,5.5660701,0.025344,5227618,6003
200.5559998,5.7071199,0.0119395,5227623,6003
200.5839996,5.71311,0.0102637,5227624,6007
200.5939941,3.97101,0.007629,5227626,6012
200.647995,2.7694399,0.0086277,5227650,6016
201.654007,10.1239996,0.0086277,5227696,6033
201.7039948,9.2409801,0.0062349,5227733,6038
201.8099976,6.8640499,0.0185881,5386325,6043
201.845993,7.4674602,0.0183967,5386336,6050
201.7350006,3.0432701,0.0079719,5386678,6052
201.7929993,4.6064901,0.0294164,5387855,6059
201.8509979,5.9582601,0.0334526,5708029,6067
202.1289978,8.5514498,0.025344,5227606,6073
202.2169952,8.1510801,0.0183967,5386345,6078
202.2200012,11.2707996,0.0115009,5386352,6085
202.427002,11.7412004,0.0115009,5386358,6089
202.5169983,12.0569,0.0107665,5386360,6099
202.5939941,11.5141001,0.0071878,5386362,6101
202.723999,15.1339998,0.0065266,5386362,6107
202.8589935,14.8060999,0.0065266,5386364,6114
202.9080048,13.5472002,0.022006,5386364,6124
202.9490051,13.6166,0.0318201,5386366,6137
202.9329987,11.9171,0.0389086,5386366,6135
202.9219971,11.7370996,0.0389086,5386481,6135
202.9720001,8.8913698,0.0340404,5386596,6136
203.5160065,7.6202898,0.01536,5386628,6142
203.7299957,10.2009001,0.0294164,5387868,6151
203.9429932,14.0466003,0.104852,5707688,6163
204.1869965,22.7119007,0.0414225,5038622,6184
204.2610016,20.2919998,0.0090225,5226796,6204
204.4519958,17.4634991,0.0071602,5226799,6207
204.6439972,17.2376003,0.0371318,5227032,6219
204.6580048,16.0904999,0.0371318,5227066,6240
204.6340027,13.7538996,0.0437037,5227093,6240
204.6799927,15.3458004,0.0437037,5227118,6238
204.6239929,11.9245005,0.0228919,5227144,6242
205.621994,9.6073303,0.0133449,5227158,6251
205.7890015,11.7210999,0.0081302,5227376,6260
205.8289948,13.5620003,0.0041589,5227590,6267
205.8289948,13.5802002,0.0363748,5387903,6281
205.8090057,11.4696999,0.104852,5707678,6287
205.8289948,12.2494001,0.0503517,4850480,6294
205.8820038,11.4377003,0.0503517,4850488,6297
205.9250031,13.0179005,0.0385169,5226749,6306
206.0420074,10.7816,0.027217,5226750,6312
206.1459961,9.5838099,0.0259,5226757,6321
206.1690063,8.8069401,0.0251059,5226778,6327
206.2779999,7.2602301,0.0152627,5226803,6331
206.2189941,4.1330299,0.0152627,5226806,6335
206.3200073,3.9044001,0.0111553,5226834,6336
206.3049927,4.8831301,0.021816,5227002,6342
206.3509979,4.2299099,0.0408585,5387935,6347
206.3560028,4.0324202,0.0905298,5707606,6352
206.3939972,5.8937998,0.0378005,4850476,6357
206.2920074,5.2950201,0.0211085,5226864,6362
206.3359985,6.34267,0.0222742,5226867,6366
206.4730072,7.79742,0.0222742,5226869,6372
206.4620056,10.1134005,0.0123579,5226926,6379
206.5079956,14.1122999,0.0076438,5226982,6388
206.5269928,10.9341002,0.0408585,5387941,6388
206.720993,20.1219006,0.0905298,5707534,6419
206.6529999,12.9518995,0.0333061,4850359,6396
206.7290039,19.8967991,0.0157605,5387944,6435
206.7409973,20.3840008,0.0944101,5707508,6433
206.7429962,18.2630997,0.032056,4850182,6443
206.75,11.6008997,0.0145044,5387967,6443
206.7630005,9.7933702,0.13028,5707423,6453
206.7599945,8.5346603,0.0258755,4850113,6461
206.7389984,7.16641,0.0173993,5387996,6457
206.7559967,7.0618601,0.13028,5707348,6461
209.4129944,7.9380798,0.0258755,4850022,6474
209.5169983,12.1541004,0.0173993,5388014,6481
209.552002,10.8800001,0.036081,5388028,6488
209.6990051,7.8188701,0.121643,5707337,6493
209.8070068,5.97295,0.0554348,4849930,6497
209.8549957,5.7503099,0.0401632,5388036,6504
209.9329987,7.0844998,0.102321,5707323,6511
209.9579926,4.6998601,0.058276,4849916,6517
210.048996,7.1975002,0.0401632,5388044,6522
210.1629944,14.0309,0.102321,5707306,6530
210.3820038,17.6219006,0.058276,4849909,6544
210.4450073,20.4890003,0.0403934,5388048,6544
211.6909943,20.5342007,0.0563772,5705014,6555
211.8139954,20.3904991,0.043612,4849876,6570
211.7480011,7.6566401,0.0416334,5388054,6566
211.845993,4.5949798,0.0562472,5702712,6579
211.8679962,4.9755001,0.0282716,4849844,6586
211.878006,5.2469802,0.0343156,5388068,6593
211.9629974,6.1173201,0.0499646,5702690,6599
212.0970001,7.41223,0.0129182,4849842,6610
212.2079926,6.53163,0.0343156,5388092,6615
212.2030029,9.8857498,0.0232383,5702684,6628
212.276001,9.8214703,0.0092431,4849842,6636
212.2960052,8.9914398,0.0290397,5388227,6653
212.25,12.5156002,0.0246318,5702682,6655
212.7539978,15.6892996,0.015601,4849840,6681
212.6089935,18.7089996,0.0301869,5388365,6676
212.5269928,18.3904991,0.0246318,5702680,6666
212.8569946,15.4419003,0.0244188,4849840,6688
212.9409943,17.0259991,0.0301869,5388400,6695
213.0399933,13.2107,0.0234512,5702677,6702
213.0970001,12.1428003,0.0260104,4849838,6717
213.1329956,14.6363001,0.0241553,5388430,6724
213.2039948,10.6772003,0.0213418,5702674,6734
213.2230072,10.2686996,0.0284269,4849838,6739
213.3040009,13.1443005,0.0152721,5388449,6747
213.3099976,13.1981001,0.012699,5388458,6757
213.326004,11.8399,0.0156419,5545376,6760
213.5079956,11.8836002,0.0198415,5702482,6768
213.6190033,13.5902004,0.0284269,4849144,6773
213.6699982,10.5521002,0.0145259,4848450,6787
213.6900024,8.5363598,0.0178274,4848448,6786
213.7510071,9.1587696,0.0182144,4848446,6788
213.7480011,6.7017398,0.020279,4848444,6799
213.8220062,8.7985897,0.020279,4848443,6794
213.7949982,7.0051198,0.0113987,4848442,6803
213.8540039,11.0007,0.0228889,4848439,6809
213.848999,15.3462,0.0519842,4848409,6820
213.7850037,12.2712002,0.0519842,4848377,6817
213.8630066,13.6541996,0.0167004,4848372,6821
213.8800049,16.2728004,0.046223,4848369,6830
213.8659973,13.1562004,0.0894659,4848363,6843
213.8529968,12.4923,0.0894659,4848356,6842
213.8359985,9.8993101,0.0271802,4848350,6848
213.8829956,4.89677,0.0278673,4848333,6847
213.9550018,2.9951999,0.0210702,4848304,6850
215.753006,2.58868,0.0181144,4848254,6864
250.5980072,5.9029698,0.0078876,4848216,6915
250.6719971,7.2161102,0.006734,4848216,6928
250.5780029,8.1386499,0.0158428,4848214,6929
250.7200012,7.8576698,0.0201452,4848214,6933
250.6710052,7.4054899,0.0201452,4848200,6939
250.7050018,6.48526,0.0120421,4848186,6952
250.7610016,10.7996998,0.0121389,4848166,6957
250.8179932,16.4627991,0.0121389,4848144,6968
250.852005,9.1072903,0.0117808,4848130,6966
250.8600006,4.5521202,0.0217711,4848118,6963
255.5410004,5.1673698,0.0217711,4848115,6978
255.727005,2.4802499,0.0181361,4848100,6986
257.3980103,2.32477,0.0122418,4848086,7004
258.4389954,3.84551,0.0158389,4848003,7014
258.480011,5.7273502,0.0158389,4847922,7021
258.5450134,5.95366,0.0117447,4847914,7025
258.678009,6.7350702,0.0117447,4847899,7030
258.8450012,10.8961,0.017848,4847890,7043
258.8840027,4.3183799,0.017848,4847882,7043
258.9920044,4.1276798,0.0097382,4847873,7044
259.0899963,2.4939001,0.013263,4847866,7051
259.0109863,2.6140299,0.0772132,4844752,7056
259.0469971,2.42395,0.0759912,4844758,7063
258.9450073,3.87502,0.071945,4844766,7065
258.8980103,7.25418,0.0599709,4844772,7068
258.9150085,2.9737599,0.0383946,4844776,7068
258.928009,2.16099,0.0127194,4844776,7071
259.0119934,2.91926,0.0179208,4844857,7074
261.8580017,2.6068299,0.0133636,4847850,7107
262.4500122,3.3726699,0.0840138,4844706,7111
262.6570129,5.21034,0.10859,4844718,7129
262.7269897,2.90136,0.10859,4844735,7121
262.6879883,3.04914,0.0614685,4844961,7135
266.196991,3.1861401,0.0121092,4847836,7160
266.4079895,3.55601,0.0982301,4844684,7162
266.0899963,3.04357,0.0982301,4844692,7155
267.7210083,2.46187,0.113674,4844991,7182
267.6260071,2.1953599,0.0516786,4847830,7192
267.6520081,4.3772502,0.0575493,4844616,7197
267.7090149,4.3656602,0.0904758,4844648,7203
267.6659851,6.0370402,0.0904758,4844674,7206
267.7219849,8.8368196,0.126012,4845004,7211
268.0480042,8.4797802,0.0516786,4847826,7217
268.2380066,8.3855495,0.0611905,4844583,7217
268.4620056,7.6697502,0.126012,4845021,7225
268.5780029,8.7713499,0.0076825,4847134,7229
268.6300049,5.6993899,0.0429897,4844382,7234
268.7810059,8.7587605,0.0716603,4844385,7240
269.0820007,9.4048204,0.0950495,4844470,7249
269.2000122,9.9504004,0.0950495,4844556,7257
269.3439941,10.5152998,0.108968,4845046,7279
269.3659973,8.2801399,0.0076737,4846022,7275
269.375,7.6568198,0.0081811,4846443,7285
269.428009,8.5490503,0.0273942,4844372,7298
269.4450073,6.93434,0.0998529,4845069,7290
269.4630127,6.47754,0.0160866,4845591,7309
269.4419861,6.4567399,0.0477553,4844352,7312
269.4450073,5.9419098,0.0477553,4844362,7329
